CFS Account Number,Account Name,Account Identifier,Current,1-30 Days,31-60 Days,61-90 Days,91-120 Days,121-150 Days,151-180 Days,>180 Days,Total Outstanding,Report Date
"PR000016","SAUK PRAIRIE SCHOOLS","SF00005258","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000017","WEST VALLEY-MISSION COMMUNITY COLLEGE DISTRICT","SF00005132","$807.36","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$807.36","01/03/2022"
"PR000018","ATWATER ELEMENTARY SCHOOL DISTRICT","SF00005302","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000019","LOWER PIONEER VALLEY EDUCATIONAL COLLABORATIVE","SF00004713","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000020","CHILDNET YOUTH AND FAMILY SERVICES, INC","SF00004953","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000021","HAMILTON HIGH SCHOOL","SF00005356","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000022","OCTORARA AREA SCHOOL DISTRICT","SF00005036","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000023","FTIDC36-HEADQUARTERS","SF00005439","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000024","SOUTH-WESTERN CITY SCHOOL DISTRICT","SF00005649","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000025","IONIA PUBLIC SCHOOLS","SF00005609","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000026","FOLLETT STORE #1368","SF00005674","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000027","FOLLETT #650/ROBERTS WESLEYAN COLLEGE BOOKSTORE","SF00005533","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000028","FOLLETT HIGHER EDUCATION GROUP","SF00005408","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$33.60","$33.60","01/03/2022"
"PR000029","CARDIAC LIFE","SF00005167","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000030","TENNESSEE SCHOOL FOR THE DEAF","SF00005701","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000031","COUNTY OF SAN DIEGO","SF00004963","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000032","SKYSTORE","SF00005838","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","-$50.76","-$50.76","01/03/2022"
"PR000033","BBSI","SF00005220","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000034","UT PERMIAN BASIN BOOKSTORE","SF00005753","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000035","FOLLETT #1355","SF00005621","$0.00","$0.00","$0.00","$0.00","$0.00","-$446.25","$1408.48","$0.00","$962.23","01/03/2022"
"PR000036","ISD 2154 EVELETH-GILBERT PUBLIC SCHOOLS","SF00005807","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000037","BH MEDIA GROUP","SF00005593","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000038","THE CHATEAU AT MOORINGS PARK","SF00006032","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000039","PASSAIC VALLEY HIGH SCHOOL","SF00004644","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000040","GRANDVIEW HIGH SCHOOL","SF00005670","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000041","GULF COAST STATE COLLEGE","SF00006135","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000042","OWENS VALLEY CAREER DEVELOPMENT CENTER","SF00005053","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000043","CPR SAVERS","SF00005693","$0.00","$0.00","$38635.20","$0.00","$0.00","$0.00","$0.00","$0.00","$38635.20","01/03/2022"
"PR000044","HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT","SF00006243","$998.84","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$998.84","01/03/2022"
"PR000045","MILWAUKEE PUBLIC SCHOOL- RECREATION AQUATICS","SF00005887","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000046","HARFORD COMMUNITY COLLEGE","SF00005858","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000047","PHILADELPHIA FREEDOM VALLEY Y - SPRING VALLEY","SF00005690","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000048","CLARK COUNTY AQUATICS","SF00005550","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000049","GLOUCESTER CITY BOARD OF EDUCATION","SF00006069","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000050","TOLEDO PUBLIC SCHOOLS CURRICULUM DEPT","SF00006500","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000051","BARRINGTON PUBLIC SCHOOL","SF00006431","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000052","HIGH POINT UNIVERSITY","SF00006493","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000053","TFC LIFESAVERS","SF00006168","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000054","RANCOCAS VALLEY REGIONAL HIGH SCHOOL","SF00006185","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000055","LINCOLN-WAY COMMUNITY HIGH SCHOOL DISTRICT 210","SF00006396","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000056","MILLERSVILLE UNIV.STUDENT SERVICES INC.","SF00005397","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000057","NORTH KANSAS CITY SCHOOL DISTRICT","SF00006350","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000058","SECURITAS SECURITY SERVICES USA, INC.","SF00005414","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000059","HUDSON CITY SCHOOLS - HCER","SF00006274","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000060","SMOKY HILL HIGH SCHOOL","SF00006421","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000061","CRAVEN COMMUNITY COLLEGE","SF00005729","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000062","CORNWALL- LEBANON SCHOOL DISTRICT","SF00006008","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000063","POCONO MOUNTAIN SCHOOL DISTRICT","SF00006792","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000064","CENTRAL CONNECTICUT COAST YMCA","SF00005652","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000065","WEARE MIDDLE SCHOOL","SF00006231","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000066","BLACKSTONE VALLEY VOCATIONAL RSD","SF00006344","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000067","TOMS RIVER REGIONAL SCHOOLS","SF00006174","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000068","LOUREIRO ENGINEERING ASSOCIATES, INC.","SF00006417","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000069","UNIVERSITY OF MEMPHIS","SF00005578","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000070","GOLDEN PLAINS USD","SF00006005","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000071","PASADENA CITY COLLEGE BOOKSTORE","SF00006103","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000072","PASADENA UNIFIED SCHOOL DISTRICT","SF00006534","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000073","YMCA OF METRO CHICAGO","SF00006707","$149.84","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$149.84","01/03/2022"
"PR000074","NEW ENGLAND HEALTH AND SAFETY TRAINING","SF00006385","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000075","OMNI RESORT AT CHAMPIONSGATE","SF00006409","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000076","WRIGHT CPR/FA/AED TRAINING","SF00006161","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000077","SPRINGFIELD TOWNSHIP HIGH SCHOOL","SF00006704","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000078","COMMUNITY SCHOOL CORPORATION OF SOUTHERN HANCOCK","SF00006809","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000079","NORTH WHITE SCHOOL CORPORATION","SF00006828","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000080","BROOKLINE RECREATION DEPARTMENT","SF00007072","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000081","EAST GREENBUSH CENTRAL SCHOOLS","SF00006194","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000082","CHURCHVILLE CHILI CENTRAL SCHOOLS","SF00006031","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000083","BNSF RAILWAY","SF00005722","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000084","DERRY TOWNSHIP DEPARTMENT OF PARKS AND RECREATION","SF00005312","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000085","CARBON COUNTY HIGHER EDUCATION CENTER","SF00006589","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000086","CLOVER PARK SCHOOL DISTRICT","SF00006143","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000087","SOUTH SHORE YMCA EMILSON BRANCH","SF00006144","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000088","BARRINGTON PARK DISTRICT","SF00006927","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000089","MCGAW YMCA","SF00005077","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000090","UNITED POOL MANAGEMENT","SF00006510","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000091","BOND COUNTY CUSD NO. 2","SF00007148","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000092","LANCASTER CITY SCHOOLS","SF00006744","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000093","BUFFALO TRACE DISTRICT HEALTH DEPARTMENT","SF00005925","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000094","UNION COUNTY CAREER CENTER SPORTS MEDICINE","SF00007150","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000095","COUNTY OF MONTGOMERY","SF00006738","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000096","AQUINAS COLLEGE BOOKSTORE FOLLETT #1727","SF00007176","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000097","SPRING BRANCH ISD","SF00006603","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000098","A.W. HOLDINGS DBA BENCHMARK HUMAN SERVICES","SF00007254","$759.77","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$759.77","01/03/2022"
"PR000099","WESTERN MESQUITE MINES, INC.","SF00006605","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000100","MBS TEXTBOOK EXCHANGE_1","SF00007195","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000101","LIDL US, LLC","SF00007238","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000102","THE FRESH AIR FUND","SF00005307","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000103","DIMAN REG VOC TECH HIGH SCHOOL","SF00006735","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000104","GADNR","SF00007231","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000105","OREGON CHILD DEVELOPMENT COALITION","SF00006654","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000106","NORTH SMITHFIELD HIGH SCHOOL","SF00006803","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000107","BROOKE HIGH SCHOOL ATHLETICS","SF00007364","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000108","MONROE 1 BOCES","SF00006827","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000109","CITY OF JACKSONVILLE AQUATICS","SF00007396","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000110","SECURITAS SECURITY SERVICES","SF00007410","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000111","STAMFORD PUBLIC SCHOOLS","SF00007208","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000112","OWEN J. ROBERTS SCHOOL DISTRICT","SF00007361","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000113","NEW FAIRFIELD PARKS AND REC","SF00007408","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000114","FAIRVIEW HOSPITAL","SF00007512","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000115","CHINESE-AMERICAN PLANNING COUNCIL, INC.","SF00007517","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000116","I/N TEK I/N KOTE","SF00007572","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000117","MILWAUKEE AREA TECHNICAL COLLEGE","SF00006832","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000118","OCEAN SPRAY CRANBERRIES","SF00007046","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000119","KENT ROOSEVELT HIGH SCHOOL","SF00007651","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000120","FREMONT FAMILY YMCA","SF00006618","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000121","SAN FRANCISCO UNIFIED SCHOOL DISTRICT - SCHOOL HEA","SF00007461","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000122","YMCA OF GREATER BRANDYWINE","SF00007532","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000123","SAN JOAQUIN COUNTY OFFICE OF EDUCATION","SF00006583","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000124","SPRINGFIELD COLLEGE BOOKSTORE (FOLLETT STORE#0551)","SF00007107","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000125","VILLAGE OF WESTON","SF00007694","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000126","CITY OF SACRAMENTO","SF00006836","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000127","TEXAS COUNTY FAMILY YMCA","SF00007619","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000128","NOVA SOUTHEASTERN UNIVERSITY AQUATICS INSTITUTE","SF00007674","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000129","BLUE CROSS BLUE SHIELD OF MS","SF00007733","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000130","KATY ISD AQUATICS","SF00007766","$957.89","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$957.89","01/03/2022"
"PR000131","GLENCOE-SILVER LAKE SCHOOLS","SF00007875","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000132","QUAD GRAPHICS, INC. HQ SUSSEX WI","SF00007544","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000133","EAST VALLEY INSTITUTE OF TECHNOLOGY","SF00007721","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000134","SEATTLE ACADEMY OR ARTS AND SCIENCES","SF00007581","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000135","LA MISSION COLLEGE - EAGLES LANDING STUD STORE","SF00007688","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000136","POTAWATOMI BINGO CASINO","SF00007899","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000137","ABINGTON YMCA","SF00007754","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000138","COLUMBUS RECREATION AND PARKS","SF00008051","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000139","WAYNE BOARD OF EDUCATION","SF00006057","$6041.42","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$6041.42","01/03/2022"
"PR000140","COTULLA ISD","SF00007509","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000141","AVOCA CENTRAL SCHOOL","SF00007849","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000142","OSSINING RECREATION & PARKS","SF00006233","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000143","LINDENHURST UFSD","SF00007628","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000144","FSA BOOKSTORE HVCC","SF00007943","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000145","ACME UNITED","SF00005695","$16100.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$16100.00","01/03/2022"
"PR000146","MENOMONIE HIGH SCHOOL","SF00007750","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000147","PICKAWAY COUNTY BOARD OF DD","SF00005744","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000148","ED THOMAS YMCA","SF00007959","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000149","WILLIAMSON COUNTY PARKS AND RECREATION","SF00008103","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000150","CITY OF DES MOINES PARKS AND RECREATION","SF00008311","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000151","REND LAKE COLLEGE","SF00005431","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000152","WESTROCK","SF00008340","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000153","MADERA SOUTH HIGH SCHOOL","SF00008102","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000154","MARION/ WALTHALL CORRECTIONAL FACILITY","SF00005090","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000155","MORRIS COUNTY SCHOOL OF TECHNOLOGY","SF00008362","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000156","NEWINGTON PARKS AND RECREATION DEPARTMENT","SF00007658","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000157","MEDFORD RECREATION","SF00007865","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000158","CVCC CAMPUS STORE","SF00008301","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000160","SECURITAS SECURITY SERVICES USA, INC_1","SF00007197","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
"PR000161","BROWN COUNTY AMBULANCE SERVICE","SF00008592","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","$0.00","01/03/2022"
