CC Order,SFDC Account,CFS Invoice/Credit,Invoice Amount,Invoice Date,Status
"O-0005783198","a7N3o000002VbS4EAK","22395684","$30.00","2021-12-31","Invoiced"
"O-0005785246","a7N3o000002VcYNEA0","22395684","$45.00","2021-12-31","Invoiced"
"O-0005786422","a7N3o000002Vd6tEAC","22395684","$30.00","2021-12-31","Invoiced"
"O-0005786635","a7N3o000002VdCIEA0","22395684","$75.00","2021-12-31","Invoiced"
"O-0005787044","a7N3o000002VdLeEAK","22395684","$15.00","2021-12-31","Invoiced"
"O-0005787292","a7N3o000002VdQ0EAK","22395684","$75.00","2021-12-31","Invoiced"
"O-0005793342","a7N3o000002VeNmEAK","22395684","$30.00","2021-12-31","Invoiced"
"O-0005793578","a7N3o000002VeXREA0","22395684","$45.00","2021-12-31","Invoiced"
"O-0005794895","a7N3o000002VfFZEA0","22395684","$60.00","2021-12-31","Invoiced"
"O-0005797363","a7N3o000002VgdbEAC","22395684","$30.00","2021-12-31","Invoiced"
"O-0005799901","a7N3o000002VhmKEAS","22395684","$45.00","2021-12-31","Invoiced"
"O-0005800083","a7N3o000002VhpTEAS","22395684","$30.00","2021-12-31","Invoiced"
"O-0005806242","a7N3o000002ViSkEAK","22395684","$60.00","2021-12-31","Invoiced"
"O-0005807574","a7N3o000002VimLEAS","22395684","$45.00","2021-12-31","Invoiced"
"O-0005807825","a7N3o000002Viq3EAC","22395684","$60.00","2021-12-31","Invoiced"
"O-0005807864","a7N3o000002VirBEAS","22395684","$30.00","2021-12-31","Invoiced"
"O-0005808671","a7N3o000002Vj5rEAC","22395684","$60.00","2021-12-31","Invoiced"
"O-0005809684","a7N3o000002VjJ6EAK","22395684","$75.00","2021-12-31","Invoiced"
"O-0005809862","a7N3o000002VjMUEA0","22395684","$30.00","2021-12-31","Invoiced"
"O-0005811851","a7N3o000002VjiUEAS","22395684","$60.00","2021-12-31","Invoiced"
"O-0005818347","a7N3o000002VkFOEA0","22395684","$15.00","2021-12-31","Invoiced"
"O-0005819416","a7N3o000002VkVWEA0","22395684","$45.00","2021-12-31","Invoiced"
"O-0005819722","a7N3o000002VkZYEA0","22395684","$15.00","2021-12-31","Invoiced"
"O-0005829123","a7N3o000002VmdLEAS","22395684","$60.00","2021-12-31","Invoiced"
"O-0005830931","a7N3o000002Vnk2EAC","22395684","$45.00","2021-12-31","Invoiced"
"O-0005832199","a7N3o000002VoVIEA0","22395684","$30.00","2021-12-31","Invoiced"
"O-0005833001","a7N3o000002VoxWEAS","22395684","$30.00","2021-12-31","Invoiced"
"O-0005834691","a7N3o000002Vpj6EAC","22395684","$15.00","2021-12-31","Invoiced"
"O-0005834982","a7N3o000002VppYEAS","22395684","$15.00","2021-12-31","Invoiced"
"O-0005835340","a7N3o000002VpxDEAS","22395684","$30.00","2021-12-31","Invoiced"
"O-0005837313","a7N3o000002VqQPEA0","22395684","$30.00","2021-12-31","Invoiced"
"O-0005837439","a7N3o000002VqRNEA0","22395684","$30.00","2021-12-31","Invoiced"
"O-0005837510","a7N3o000002VqRwEAK","22395684","$45.00","2021-12-31","Invoiced"
"O-0005841993","a7N3o000002VrMTEA0","22395684","$60.00","2021-12-31","Invoiced"
"O-0005842730","a7N3o000002VrnjEAC","22395684","$15.00","2021-12-31","Invoiced"
"O-0005844436","a7N3o000002Vsq6EAC","22395684","$75.00","2021-12-31","Invoiced"
"O-0005844562","a7N3o000002VsucEAC","22395684","$90.00","2021-12-31","Invoiced"
"O-0005844658","a7N3o000002VsxbEAC","22395684","$33.00","2021-12-31","Invoiced"
"O-0005844805","a7N3o000002Vt2WEAS","22395684","$60.00","2021-12-31","Invoiced"
"O-0005845294","a7N3o000002VtMCEA0","22395684","$75.00","2021-12-31","Invoiced"
"O-0005845559","a7N3o000002VtX5EAK","22395684","$60.00","2021-12-31","Invoiced"
"O-0005847674","a7N3o000002VuhkEAC","22395684","$30.00","2021-12-31","Invoiced"
"O-0005847768","a7N3o000002VukKEAS","22395684","$45.00","2021-12-31","Invoiced"
"O-0005848845","a7N3o000002VvCAEA0","22395684","$15.00","2021-12-31","Invoiced"
"O-0005849388","a7N3o000002VvNrEAK","22395684","$60.00","2021-12-31","Invoiced"
"O-0005855513","a7N3o000002Vwa0EAC","22395684","$75.00","2021-12-31","Invoiced"
"O-0005858078","a7N3o000002Vy5qEAC","22395684","$60.00","2021-12-31","Invoiced"
"O-0005858510","a7N3o000002VyKgEAK","22395684","$30.00","2021-12-31","Invoiced"
"O-0005861011","a7N3o000002VziREAS","22395684","$45.00","2021-12-31","Invoiced"
"O-0005861496","a7N3o000002Vzv6EAC","22395684","$15.00","2021-12-31","Invoiced"
"O-0005862747","a7N3o000002W0KkEAK","22395684","$30.00","2021-12-31","Invoiced"
"O-0005862976","a7N3o000002W0OhEAK","22395684","$30.00","2021-12-31","Invoiced"
"O-0005863088","a7N3o000002W0QYEA0","22395684","$60.00","2021-12-31","Invoiced"
"O-0005870451","a7N3o000002W2QzEAK","22395684","$45.00","2021-12-31","Invoiced"
"O-0005876224","a7N3o000002W5CMEA0","22395684","$75.00","2021-12-31","Invoiced"
"O-0005880579","a7N3o000002W5fsEAC","22395684","$30.00","2021-12-31","Invoiced"
"O-0005882672","a7N3o000002W6oWEAS","22395684","$30.00","2021-12-31","Invoiced"
"O-0005883191","a7N3o000002W78qEAC","22395684","$60.00","2021-12-31","Invoiced"
"O-0005883887","a7N3o000002W7WrEAK","22395684","$30.00","2021-12-31","Invoiced"
"O-0005884741","a7N3o000002W82dEAC","22395684","$45.00","2021-12-31","Invoiced"
"O-0005885500","a7N3o000002W8CAEA0","22395684","$15.00","2021-12-31","Invoiced"
"O-0005886770","a7N3o000002W8zaEAC","22395684","$75.00","2021-12-31","Invoiced"
"O-0005903840","a7N3o000002WBUHEA4","22395684","$30.00","2021-12-31","Invoiced"
"O-0005904464","a7N3o000002WBcfEAG","22395684","$60.00","2021-12-31","Invoiced"
"O-0005905226","a7N3o000002WBogEAG","22395684","$45.00","2021-12-31","Invoiced"
"O-0005905242","a7N3o000002WBovEAG","22395684","$45.00","2021-12-31","Invoiced"
"O-0005905243","a7N3o000002WBp0EAG","22395684","$30.00","2021-12-31","Invoiced"
"O-0005905480","a7N3o000002WBsxEAG","22395684","$60.00","2021-12-31","Invoiced"
"O-0005905551","a7N3o000002WBtlEAG","22395684","$135.00","2021-12-31","Invoiced"
"O-0005912784","a7N3o000002WDP9EAO","22395684","$75.00","2021-12-31","Invoiced"
"O-0005913464","a7N3o000002WDmNEAW","22395684","$15.00","2021-12-31","Invoiced"
"O-0005913516","a7N3o000002WDo4EAG","22395684","$30.00","2021-12-31","Invoiced"
"O-0005915440","a7N3o000002WEsCEAW","22395684","$30.00","2021-12-31","Invoiced"
"O-0005917229","a7N3o000002WFrZEAW","22395684","$45.00","2021-12-31","Invoiced"
"O-0005919388","a7N3o000002WGfeEAG","22395684","$75.00","2021-12-31","Invoiced"
"O-0005923438","a7N3o000002WH6fEAG","22395684","$75.00","2021-12-31","Invoiced"
"O-0005926030","a7N3o000002WIMREA4","22395684","$90.00","2021-12-31","Invoiced"
"O-0005931571","a7N3o000002WKlCEAW","22395684","$75.00","2021-12-31","Invoiced"
"O-0005932028","a7N3o000002WLDtEAO","22395684","$45.00","2021-12-31","Invoiced"
"O-0005938651","a7N3o000002WMyEEAW","22395684","$129.50","2021-12-31","Invoiced"
"O-0005938738","a7N3o000002WN0pEAG","22395684","$75.00","2021-12-31","Invoiced"
"O-0005939565","a7N3o000002WNSOEA4","22395684","$120.00","2021-12-31","Invoiced"
"O-0005940899","a7N3o000002WOAVEA4","22395684","$15.00","2021-12-31","Invoiced"
"O-0005940998","a7N3o000002WODyEAO","22395684","$30.00","2021-12-31","Invoiced"
"O-0005942713","a7N3o000002WOvlEAG","22395684","$45.00","2021-12-31","Invoiced"
"O-0005950010","a7N3o000002WQQZEA4","22395684","$75.00","2021-12-31","Invoiced"
"O-0005950339","a7N3o000002WQaoEAG","22395684","$60.00","2021-12-31","Invoiced"
"O-0005952426","a7N3o000002WRX3EAO","22395684","$22.00","2021-12-31","Invoiced"
"O-0005953727","a7N3o000002WRy4EAG","22395684","$60.00","2021-12-31","Invoiced"
"O-0005953753","a7N3o000002WRyOEAW","22395684","$60.00","2021-12-31","Invoiced"
"O-0005954390","a7N3o000002WS71EAG","22395684","$45.00","2021-12-31","Invoiced"
"O-0005988961","a7N3o000002WWt9EAG","22395684","$45.00","2021-12-31","Invoiced"
"O-0005990446","a7N3o000002WXanEAG","22395684","$15.00","2021-12-31","Invoiced"
"O-0005991048","a7N3o000002WXnrEAG","22395684","$75.00","2021-12-31","Invoiced"
"O-0005991171","a7N3o000002WXqMEAW","22395684","$45.00","2021-12-31","Invoiced"
"O-0005991212","a7N3o000002WXrKEAW","22395684","$60.00","2021-12-31","Invoiced"
"O-0005991246","a7N3o000002WXs8EAG","22395684","$60.00","2021-12-31","Invoiced"
"O-0005998878","a7N3o000002WZsvEAG","22395684","$45.00","2021-12-31","Invoiced"
"O-0005999955","a7N3o000002WaTrEAK","22395684","$45.00","2021-12-31","Invoiced"
"O-0006001547","a7N3o000002WbKgEAK","22395684","$30.00","2021-12-31","Invoiced"
"O-0006004151","a7N3o000002WcIWEA0","22395684","$30.00","2021-12-31","Invoiced"
"O-0006009789","a7N3o000002WdTBEA0","22395684","$45.00","2021-12-31","Invoiced"
"O-0006011101","a7N3o000002WeBAEA0","22395684","$45.00","2021-12-31","Invoiced"
"O-0006011329","a7N3o000002WeCYEA0","22395684","$30.00","2021-12-31","Invoiced"
"O-0006012141","a7N3o000002Wem1EAC","22395684","$135.00","2021-12-31","Invoiced"
"O-0006012267","a7N3o000002WepoEAC","22395684","$60.00","2021-12-31","Invoiced"
"O-0006012505","a7N3o000002Wex5EAC","22395684","$75.00","2021-12-31","Invoiced"
"O-0006014831","a7N3o000002WfzfEAC","22395684","$60.00","2021-12-31","Invoiced"
"O-0006014919","a7N3o000002Wg1qEAC","22395684","$60.00","2021-12-31","Invoiced"
"O-0006016083","a7N3o000002WgNNEA0","22395684","$60.00","2021-12-31","Invoiced"
"O-0006022541","a7N3o000002WhxCEAS","22395684","$60.00","2021-12-31","Invoiced"
"O-0006024926","a7N3o000002WiwuEAC","22395684","$15.00","2021-12-31","Invoiced"
"O-0006025682","a7N3o000002WjP7EAK","22395684","$30.00","2021-12-31","Invoiced"
"O-0006032704","a7N3o000002WkhIEAS","22395684","$60.00","2021-12-31","Invoiced"
"O-0006034082","a7N3o000002Wl9pEAC","22395684","$60.00","2021-12-31","Invoiced"
"O-0006034100","a7N3o000002WlAEEA0","22395684","$5.50","2021-12-31","Invoiced"
"O-0006034119","a7N3o000002WlAdEAK","22395684","$60.00","2021-12-31","Invoiced"
"O-0006036439","a7N3o000002WlmIEAS","22395684","$15.00","2021-12-31","Invoiced"
"O-0006036452","a7N3o000002WlmSEAS","22395684","$15.00","2021-12-31","Invoiced"
"O-0005321325","a7N3o000002CUqGEAW","22395685","$288.00","2021-12-31","Invoiced"
"O-0005321367","a7N3o000002CUrTEAW","22395685","$36.00","2021-12-31","Invoiced"
"O-0005324233","a7N3o000002CWg9EAG","22395685","$450.00","2021-12-31","Invoiced"
"O-0005325374","a7N3o000002CXN8EAO","22395685","$342.00","2021-12-31","Invoiced"
"O-0005325423","a7N3o000002CXQ6EAO","22395685","$18.00","2021-12-31","Invoiced"
"O-0005325446","a7N3o000002CXLrEAO","22395685","$126.00","2021-12-31","Invoiced"
"O-0005334356","a7N3o000002Ca4CEAS","22395685","$432.00","2021-12-31","Invoiced"
"O-0005432827","a7N3o000002D880EAC","22395685","$18.00","2021-12-31","Invoiced"
"O-0005491895","a7N3o000002DPyJEAW","22395685","$342.00","2021-12-31","Invoiced"
"O-0005491923","a7N3o000002DPyKEAW","22395685","$90.00","2021-12-31","Invoiced"
"O-0005492780","a7N3o000002DQWkEAO","22395685","$234.00","2021-12-31","Invoiced"
"O-0005494532","a7N3o000002DRUvEAO","22395685","$468.00","2021-12-31","Invoiced"
"O-0005502243","a7N3o000002DTa5EAG","22395685","$720.00","2021-12-31","Invoiced"
"O-0005502310","a7N3o000002DTcVEAW","22395685","$18.00","2021-12-31","Invoiced"
"O-0005514001","a7N3o000002DY1dEAG","22395685","$342.00","2021-12-31","Invoiced"
"O-0005514219","a7N3o000002DY7MEAW","22395685","$108.00","2021-12-31","Invoiced"
"O-0005514824","a7N3o000002DYQDEA4","22395685","$18.00","2021-12-31","Invoiced"
"O-0005517466","a7N3o000002DZzJEAW","22395685","$18.00","2021-12-31","Invoiced"
"O-0005517800","a7N3o000002DaC1EAK","22395685","$18.00","2021-12-31","Invoiced"
"O-0005528286","a7N3o000002Ddl7EAC","22395685","$15.75","2021-12-31","Invoiced"
"O-0005528413","a7N3o000002DdpsEAC","22395685","$15.75","2021-12-31","Invoiced"
"O-0005664857","a7N3o000002EBbbEAG","22395685","$252.00","2021-12-31","Invoiced"
"O-0005665009","a7N3o000002EBg4EAG","22395685","$47.25","2021-12-31","Invoiced"
"O-0005665129","a7N3o000002EBj3EAG","22395685","$63.00","2021-12-31","Invoiced"
"O-0005665364","a7N3o000002EBqxEAG","22395685","$47.25","2021-12-31","Invoiced"
"O-0005665717","a7N3o000002EBy4EAG","22395685","$252.00","2021-12-31","Invoiced"
"O-0005677970","a7N3o000002EGTFEA4","22395685","$414.00","2021-12-31","Invoiced"
"O-0005678707","a7N3o000002EGjaEAG","22395685","$18.00","2021-12-31","Invoiced"
"O-0005691336","a7N3o000002ELI0EAO","22395685","$180.00","2021-12-31","Invoiced"
"O-0005691430","a7N3o000002ELI1EAO","22395685","$648.00","2021-12-31","Invoiced"
"O-0005692965","a7N3o000002EM5cEAG","22395685","$432.00","2021-12-31","Invoiced"
"O-0005694976","a7N3o000002ENFIEA4","22395685","$36.00","2021-12-31","Invoiced"
"O-0005793435","a7N3o000002VeRnEAK","22395685","$15.75","2021-12-31","Invoiced"
"O-0005793496","a7N3o000002VeRoEAK","22395685","$15.75","2021-12-31","Invoiced"
"O-0005793559","a7N3o000002VeX2EAK","22395685","$15.75","2021-12-31","Invoiced"
"O-0005793675","a7N3o000002Veb4EAC","22395685","$15.75","2021-12-31","Invoiced"
"O-0005842695","a7N3o000002VrlnEAC","22395685","$18.00","2021-12-31","Invoiced"
"O-0005855899","a7N3o000002Vwn4EAC","22395685","$342.00","2021-12-31","Invoiced"
"O-0005855949","a7N3o000002VwoIEAS","22395685","$72.00","2021-12-31","Invoiced"
"O-0005857806","a7N3o000002Vxw5EAC","22395685","$36.00","2021-12-31","Invoiced"
"O-0005858301","a7N3o000002VyDuEAK","22395685","$558.00","2021-12-31","Invoiced"
"O-0005859780","a7N3o000002Vz6DEAS","22395685","$432.00","2021-12-31","Invoiced"
"O-0005880249","a7N3o000002W5YwEAK","22395685","$270.00","2021-12-31","Invoiced"
"O-0005880364","a7N3o000002W5b2EAC","22395685","$306.00","2021-12-31","Invoiced"
"O-0005882052","a7N3o000002W6SGEA0","22395685","$216.00","2021-12-31","Invoiced"
"O-0005883776","a7N3o000002W7T9EAK","22395685","$31.50","2021-12-31","Invoiced"
"O-0005938227","a7N3o000002WMjEEAW","22395685","$63.00","2021-12-31","Invoiced"
"O-0005987550","a7N3o000002WW83EAG","22395685","$15.75","2021-12-31","Invoiced"
"O-0005987645","a7N3o000002WWBqEAO","22395685","$31.50","2021-12-31","Invoiced"
"O-0005987652","a7N3o000002WWC0EAO","22395685","$144.00","2021-12-31","Invoiced"
"O-0006012012","a7N3o000002WehLEAS","22395685","$36.00","2021-12-31","Invoiced"
"O-0006012732","a7N3o000002Wf4jEAC","22395685","$252.00","2021-12-31","Invoiced"
"O-0006019650","a7N3o000002WgiBEAS","22395685","$198.00","2021-12-31","Invoiced"
"O-0004542243","a7N3o000002EP4FEAW","22395686","$0.00","2021-12-31","Invoiced"
"O-0004542243","a7N3o000002EP4GEAW","22395686","$150.00","2021-12-31","Invoiced"
"O-0004542243","a7N3o000002EP4HEAW","22395686","$360.00","2021-12-31","Invoiced"
"O-0004550624","a7N3o000002EL2gEAG","22395686","$0.00","2021-12-31","Invoiced"
"O-0004550624","a7N3o000002EL2hEAG","22395686","$150.00","2021-12-31","Invoiced"
"O-0004550624","a7N3o000002EL2iEAG","22395686","$300.00","2021-12-31","Invoiced"
"O-0005011974","a7N3o000002VjkaEAC","22395686","$0.00","2021-12-31","Invoiced"
"O-0005011974","a7N3o000002VjkbEAC","22395686","$150.00","2021-12-31","Invoiced"
"O-0005011974","a7N3o000002VjkcEAC","22395686","$240.00","2021-12-31","Invoiced"
"O-0005012000","a7N3o000002VGEmEAO","22395686","$0.00","2021-12-31","Invoiced"
"O-0005012000","a7N3o000002VGEnEAO","22395686","$150.00","2021-12-31","Invoiced"
"O-0005012000","a7N3o000002VGEoEAO","22395686","$240.00","2021-12-31","Invoiced"
"O-0005012012","a7N3o000002VpSoEAK","22395686","$0.00","2021-12-31","Invoiced"
"O-0005012012","a7N3o000002VpSpEAK","22395686","$150.00","2021-12-31","Invoiced"
"O-0005012012","a7N3o000002VpSqEAK","22395686","$300.00","2021-12-31","Invoiced"
"O-0005239713","a7N3o000002W0YmEAK","22395686","$0.00","2021-12-31","Invoiced"
"O-0005239713","a7N3o000002W0YnEAK","22395686","$150.00","2021-12-31","Invoiced"
"O-0005239713","a7N3o000002W0YoEAK","22395686","$180.00","2021-12-31","Invoiced"
"O-0005275943","a7N3o000002VSDWEA4","22395686","$0.00","2021-12-31","Invoiced"
"O-0005275943","a7N3o000002VSDXEA4","22395686","$150.00","2021-12-31","Invoiced"
"O-0005275943","a7N3o000002VSDYEA4","22395686","$300.00","2021-12-31","Invoiced"
"O-0005691188","a7N3o000002ELESEA4","22395686","$150.00","2021-12-31","Invoiced"
"O-0005697190","a7N3o000002EORNEA4","22395686","$150.00","2021-12-31","Invoiced"
"O-0005744549","a7N3o000002VNZlEAO","22395686","$200.00","2021-12-31","Invoiced"
"O-0005767993","a7N3o000002VVQ9EAO","22395686","$150.00","2021-12-31","Invoiced"
"O-0005768082","a7N3o000002VVXcEAO","22395686","$150.00","2021-12-31","Invoiced"
"O-0005793602","a7N3o000002VeYKEA0","22395686","$150.00","2021-12-31","Invoiced"
"O-0005841563","a7N3o000002Vr9UEAS","22395686","$150.00","2021-12-31","Invoiced"
"O-0003517076","a7N3o000001yfy4EAA","22395687","$24.30","2021-12-31","Invoiced"
"O-0004856712","a7N3o0000029ajLEAQ","22395687","$24.30","2021-12-31","Invoiced"
"O-0004857454","a7N3o0000029auuEAA","22395687","$72.90","2021-12-31","Invoiced"
"O-0004859194","a7N3o0000029bs9EAA","22395687","$121.50","2021-12-31","Invoiced"
"O-0004860488","a7N3o0000029cCaEAI","22395687","$24.30","2021-12-31","Invoiced"
"O-0004864252","a7N3o0000029eAnEAI","22395687","$48.60","2021-12-31","Invoiced"
"O-0004866285","a7N3o0000029fYiEAI","22395687","$118.40","2021-12-31","Invoiced"
"O-0004868397","a7N3o0000029h1SEAQ","22395687","$24.30","2021-12-31","Invoiced"
"O-0004873966","a7N3o0000029j5IEAQ","22395687","$34.20","2021-12-31","Invoiced"
"O-0004882268","a7N3o0000029mRhEAI","22395687","$24.30","2021-12-31","Invoiced"
"O-0004883307","a7N3o0000029msdEAA","22395687","$24.30","2021-12-31","Invoiced"
"O-0004893581","a7N3o0000029pE7EAI","22395687","$24.30","2021-12-31","Invoiced"
"O-0004893610","a7N3o0000029pE8EAI","22395687","$24.30","2021-12-31","Invoiced"
"O-0004893655","a7N3o0000029pFPEAY","22395687","$48.60","2021-12-31","Invoiced"
"O-0004905704","a7N3o0000029uvTEAQ","22395687","$24.30","2021-12-31","Invoiced"
"O-0004913041","a7N3o0000029zMWEAY","22395687","$24.30","2021-12-31","Invoiced"
"O-0004916398","a7N3o000002A0B5EAK","22395687","$24.30","2021-12-31","Invoiced"
"O-0004917038","a7N3o000002A0fDEAS","22395687","$24.30","2021-12-31","Invoiced"
"O-0004919603","a7N3o000002A2hsEAC","22395687","$71.28","2021-12-31","Invoiced"
"O-0004919668","a7N3o000002A2lLEAS","22395687","$17.82","2021-12-31","Invoiced"
"O-0004921390","a7N3o000002A40jEAC","22395687","$24.30","2021-12-31","Invoiced"
"O-0004931209","a7N3o000002A99xEAC","22395687","$48.60","2021-12-31","Invoiced"
"O-0004931435","a7N3o000002A9IkEAK","22395687","$24.30","2021-12-31","Invoiced"
"O-0004936449","a7N3o000002ABJpEAO","22395687","$24.30","2021-12-31","Invoiced"
"O-0004936737","a7N3o000002DlufEAC","22395687","$0.00","2021-12-31","Invoiced"
"O-0004936737","a7N3o000002DlugEAC","22395687","$1950.00","2021-12-31","Invoiced"
"O-0004936737","a7N3o000002DluhEAC","22395687","$0.00","2021-12-31","Invoiced"
"O-0004940226","a7N3o000002ADdTEAW","22395687","$97.20","2021-12-31","Invoiced"
"O-0004940752","a7N3o000002ADnEEAW","22395687","$24.30","2021-12-31","Invoiced"
"O-0004941678","a7N3o000002AE0JEAW","22395687","$33.60","2021-12-31","Invoiced"
"O-0004941855","a7N3o000002AE2UEAW","22395687","$56.00","2021-12-31","Invoiced"
"O-0004950243","a7N3o000002AGHQEA4","22395687","$48.60","2021-12-31","Invoiced"
"O-0004971274","a7N3o000002AQnoEAG","22395687","$24.30","2021-12-31","Invoiced"
"O-0004972626","a7N3o000002ARdaEAG","22395687","$72.90","2021-12-31","Invoiced"
"O-0004972647","a7N3o000002ARdbEAG","22395687","$48.60","2021-12-31","Invoiced"
"O-0004977972","a7N3o000002AUAREA4","22395687","$72.90","2021-12-31","Invoiced"
"O-0004978955","a7N3o000002AUyfEAG","22395687","$24.30","2021-12-31","Invoiced"
"O-0004979220","a7N3o000002AVC3EAO","22395687","$24.30","2021-12-31","Invoiced"
"O-0004985299","a7N3o000002AYKgEAO","22395687","$243.00","2021-12-31","Invoiced"
"O-0005034111","a7N3o000002CuBJEA0","22395687","$0.00","2021-12-31","Invoiced"
"O-0005034111","a7N3o000002CuBKEA0","22395687","$1950.00","2021-12-31","Invoiced"
"O-0005034111","a7N3o000002CuBLEA0","22395687","$0.00","2021-12-31","Invoiced"
"O-0005041617","a7N3o000002Dm62EAC","22395687","$0.00","2021-12-31","Invoiced"
"O-0005041617","a7N3o000002Dm63EAC","22395687","$1625.00","2021-12-31","Invoiced"
"O-0005041617","a7N3o000002Dm64EAC","22395687","$0.00","2021-12-31","Invoiced"
